qui;02/04/2015;;16:15;21:12;22:13;01:37;;;
sex;03/04/2015;;;;;;;;
sáb;04/04/2015;;;;;;;;
dom;05/04/2015;;;;;;;;
seg;06/04/2015;;16:09;21:21;22:21;01:49;;;
ter;07/04/2015;;16:07;20:48;21:49;01:39;;;
qua;08/04/2015;;16:09;21:00;22:00;01:35;;;
qui;09/04/2015;;16:10;21:01;22:02;02:32;;;
sex;10/04/2015;;16:10;21:06;22:09;01:43;;;
sáb;11/04/2015;;;;;;;;
dom;12/04/2015;;;;;;;;
seg;13/04/2015;;16:13;21:10;22:13;02:00;;;
ter;14/04/2015;;16:11;21:10;22:11;01:33;;;
qua;15/04/2015;;16:10;21:36;22:36;01:54;;;
qui;16/04/2015;;16:03;20:56;21:58;01:52;;;
sex;17/04/2015;;16:10;21:05;22:06;02:10;;;
sáb;18/04/2015;;;;;;;;
dom;19/04/2015;;;;;;;;
seg;20/04/2015;;16:10;21:18;22:18;01:55;;;
Soma;;;;;;;;;
ter;21/04/2015;;;;;;;;
qua;22/04/2015;;16:11;20:58;22:00;01:33;;;
qui;23/04/2015;;16:06;20:54;21:59;01:42;;;
sex;24/04/2015;;16:12;22:00;23:00;02:26;;;
sáb;25/04/2015;;;;;;;;
dom;26/04/2015;;;;;;;;
seg;27/04/2015;;16:11;21:01;22:02;01:32;;;
ter;28/04/2015;;16:04;21:09;22:09;02:20;;;
qua;29/04/2015;;16:08;21:00;22:01;01:43;;;
qui;30/04/2015;;16:15;21:27;22:28;01:53;;;
sex;01/05/2015;;;;;;;;
sáb;02/05/2015;;;;;;;;
dom;03/05/2015;;;;;;;;
seg;04/05/2015;;16:07;21:03;22:06;01:40;;;
ter;05/05/2015;;16:10;21:04;22:06;02:01;;;
qua;06/05/2015;;16:14;21:27;22:28;01:40;;;
qui;07/05/2015;;16:14;21:01;22:02;01:55;;;
sex;08/05/2015;;16:11;20:52;21:53;02:11;;;
sáb;09/05/2015;;;;;;;;
dom;10/05/2015;;;;;;;;
seg;11/05/2015;;16:15;21:08;22:10;01:50;;;
ter;12/05/2015;;16:05;21:09;22:12;01:31;;;
qua;13/05/2015;;16:11;20:59;22:01;01:42;;;
qui;14/05/2015;;16:08;20:32;22:19;01:43;;;
sex;15/05/2015;;16:09;21:56;;;;;
sáb;16/05/2015;;;;;;;;
dom;17/05/2015;;;;;;;;
seg;18/05/2015;;15:53;21:24;22:24;01:54;;;
ter;19/05/2015;;15:26;21:27;22:27;01:03;;;
qua;20/05/2015;;16:12;21:19;22:21;01:35;;;
Soma;;;;;;;;;
qui;21/05/2015;;16:07;21:12;22:15;01:42;;;
sex;22/05/2015;;16:10;21:33;22:34;02:25;;;
